"No.","Time","Receiver address","Transmitter address","Destination address","Source","Destination","Type/Subtype","Protocol","PHY type","Length","Info"
"47","0.106207","b8:e8:56:40:66:66","","","","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"48","0.106281","9c:1c:12:e0:dd:d1","b8:e8:56:42:66:66","b4:14:89:60:c7:c0","Apple_42:66:66","CiscoInc_60:c7:c0","QoS Data","802.11","802.11n","150","QoS Data, SN=2015, FN=0, Flags=.p.....T."
"49","0.106359","9c:5c:12:e0:fd:c3","bc:69:5c:40:e6:fe","b5:15:89:68:87:c0","bc:69:5c:40:e6:fe","b5:15:89:68:87:c0","QoS Data","802.11","802.11n","154","QoS Data, SN=3714, FN=0, Flags=.p.....T."
"50","0.106439","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (TA)","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","802.11 Block Ack","802.11","802.11a","57","802.11 Block Ack, Flags=........C"
"51","0.106517","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","b4:14:89:60:c7:c0","Apple_40:66:66","CiscoInc_60:c7:c0","QoS Data","802.11","802.11n","154","QoS Data, SN=2048, FN=0, Flags=.p..R..TC"
"52","0.106603","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (TA)","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","802.11 Block Ack","802.11","802.11a","57","802.11 Block Ack, Flags=........C"
"53","0.106741","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","","Apple_40:66:66 (b8:e8:56:40:66:66) (TA)","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"54","0.106816","b8:e8:56:40:66:66","","","","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"55","0.106890","9c:5c:1a:e0:dd:d1","b8:e8:56:40:66:66","b4:14:89:60:c7:c0","Apple_40:66:66","CiscoInc_60:c7:c0","QoS Data","802.11","802.11n","150","QoS Data, SN=2049, FN=0, Flags=.p.....T."
"56","0.106971","9c:1c:12:e0:dd:d1","b8:c8:5e:40:26:ce","a4:34:c9:62:c7:c0","b8:c8:5e:40:26:ce","a4:34:c9:62:c7:c0","QoS Data","802.11","802.11n","154","QoS Data, SN=2050, FN=0, Flags=.p.....T."
"57","0.107052","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (TA)","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","802.11 Block Ack","802.11","802.11a","57","802.11 Block Ack, Flags=........C"
"58","0.116869","f4:5c:89:8c:a2:db","9c:1c:12:e0:dd:d0","f4:5c:89:8c:a2:db","173.194.175.95","10.145.4.233","QoS Data","TCP","802.11n","138","443 > 53228 [ACK] Seq=1 Ack=1 Win=525 Len=0 TSval=3601204781 TSecr=2379897703"
"59","0.129267","c1:eb:87:93:04:23","","","","c1:eb:87:93:04:23 (c1:eb:87:93:04:23) (RA)","Acknowledgement","802.11","802.11n","154","Acknowledgement, Flags=.p.PRM.T."
"60","0.129352","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (TA)","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"61","0.129513","9c:1c:12:e0:dd:d1","","","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"62","0.129588","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","CiscoInc_60:c7:c0","Apple_40:66:66","QoS Data","802.11","802.11n","154","QoS Data, SN=1065, FN=0, Flags=.p..R.F.C"
"63","0.129668","9c:1c:12:e0:dd:d1","","","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Acknowledgement","802.11","802.11a","39","Acknowledgement, Flags=........C"
"64","0.129782","72:99:5d:95:d1:06","5b:03:74:89:cb:cb","72:99:5d:95:d1:06","5b:03:74:89:cb:cb","72:99:5d:95:d1:06","ATIM","802.11","802.11n","154","Fragmented IEEE 802.11 frame"
"65","0.129858","9c:1c:12:e0:dd:d1","","","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Acknowledgement","802.11","802.11a","39","Acknowledgement, Flags=........C"
"66","0.130058","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (TA)","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"67","0.130139","9c:1c:12:e0:dd:d1","","","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"68","0.130215","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","CiscoInc_60:c7:c0","Apple_40:66:66","QoS Data","802.11","802.11n","150","QoS Data, SN=1067, FN=0, Flags=.p..R.F.C"
"69","0.130304","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","CiscoInc_60:c7:c0","Apple_40:66:66","QoS Data","802.11","802.11n","154","QoS Data, SN=1068, FN=0, Flags=.p..R.F.C"
"70","0.130427","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","","Apple_40:66:66 (b8:e8:56:40:66:66) (TA)","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","802.11 Block Ack","802.11","802.11a","57","802.11 Block Ack, Flags=........C"
"71","0.130502","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","CiscoInc_60:c7:c0","Apple_40:66:66","QoS Data","802.11","802.11n","154","QoS Data, SN=1069, FN=0, Flags=.p....F.C"
"72","0.130579","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (TA)","Apple_40:66:66 (b8:e8:56:40:66:66) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"73","0.130655","9c:1c:12:e0:dd:d1","","","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"74","0.130771","b8:e8:56:40:66:66","9c:1c:12:e0:dd:d1","b8:e8:56:40:66:66","CiscoInc_60:c7:c0","Apple_40:66:66","QoS Data","802.11","802.11n","154","QoS Data, SN=1069, FN=0, Flags=.p..R.F.C"
"75","0.130848","9c:1c:12:e0:dd:d1","","","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Acknowledgement","802.11","802.11a","39","Acknowledgement, Flags=........C"
"76","0.147297","07:4a:33:a3:26:51","a3:c4:c9:c4:cd:c9","07:4a:33:a3:26:51","a3:c4:c9:c4:cd:c9","07:4a:33:a3:26:51","Reassociation Response","802.11","802.11n","585","Fragmented IEEE 802.11 frame"
"77","0.147383","f4:5c:89:8c:a2:db","9c:1c:12:e0:dd:d0","","ArubaNet_e0:dd:d0 (9c:1c:12:e0:dd:d0) (TA)","Apple_8c:a2:db (f4:5c:89:8c:a2:db) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"78","0.147499","f4:5c:89:8c:a2:db","9c:1c:12:e0:dd:d0","f4:5c:89:8c:a2:db","173.194.175.95","10.145.4.233","QoS Data","TLSv1.2","802.11n","585","Application Data"
"79","0.147701","f0:5c:89:8c:a2:db","9c:9c:12:f0:dd:d0","f0:5c:89:8c:a2:db","CiscoInc_60:c7:c0","f0:5c:89:8c:a2:db","QoS Data","802.11","802.11n","960","QoS Data, SN=1555, FN=0, Flags=opm...F.."
"80","0.147779","f4:5c:89:8c:a2:db","9c:1c:12:e0:dd:d0","","ArubaNet_e0:dd:d0 (9c:1c:12:e0:dd:d0) (TA)","Apple_8c:a2:db (f4:5c:89:8c:a2:db) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"81","0.147899","f4:5c:89:8c:a2:db","9c:1c:12:e0:dd:d0","f4:5c:89:8c:a2:db","173.194.175.95","10.145.4.233","QoS Data","TLSv1.2","802.11n","960","Application Data"
"82","0.148220","f4:5c:89:8c:a2:db","","","","Apple_8c:a2:db (f4:5c:89:8c:a2:db) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"83","0.148301","f4:5c:89:8c:a2:db","9c:1c:12:e0:dd:d0","","ArubaNet_e0:dd:d0 (9c:1c:12:e0:dd:d0) (TA)","Apple_8c:a2:db (f4:5c:89:8c:a2:db) (RA)","802.11 Block Ack","802.11","802.11a","57","802.11 Block Ack, Flags=........C"
"84","0.148462","f4:5c:89:8c:a2:db","9c:1c:12:e0:dd:d0","","ArubaNet_e0:dd:d0 (9c:1c:12:e0:dd:d0) (TA)","Apple_8c:a2:db (f4:5c:89:8c:a2:db) (RA)","802.11 Block Ack","802.11","802.11a","57","802.11 Block Ack, Flags=........C"
"85","0.159528","f4:5c:89:8c:a2:db","","","","Apple_8c:a2:db (f4:5c:89:8c:a2:db) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"86","0.159603","f4:5c:89:8c:a2:db","9c:1c:12:e0:dd:d0","","ArubaNet_e0:dd:d0 (9c:1c:12:e0:dd:d0) (TA)","Apple_8c:a2:db (f4:5c:89:8c:a2:db) (RA)","802.11 Block Ack","802.11","802.11a","57","802.11 Block Ack, Flags=........C"
